Title,Creator,Verified_Status,Watch_Count,Tags,Description
Hear how Melania Trump reacted to FBI search,CNN,,2.3M views,"[""New"",""CC""]","While the former President Donald Trump has fumed about the FBI's search of Mar-a-Lago, former first lady Melania Trump has ..."
DOJ late-night filing reveals new details on Mar-a-Lago raid,Fox News,,2.3M views,"[""New"",""CC""]","While the former President Donald Trump has fumed about the FBI's search of Mar-a-Lago, former first lady Melania Trump has ..."
CNN Details Biden Diary Saga Involving Veritas; Cites O’Keefe November Video Addressing FBI Raids,Project Veritas,,2.3M views,"[""""]","While the former President Donald Trump has fumed about the FBI's search of Mar-a-Lago, former first lady Melania Trump has ..."
Donald Trump claims FBI staged photos during raid of his home - BBC News,BBC News,,2.3M views,"[""New""]","While the former President Donald Trump has fumed about the FBI's search of Mar-a-Lago, former first lady Melania Trump has ..."
