Title,Creator,Verified_Status,Watch_Count,Tags,Description
3 MINUTES AGO! The Russian Leader “Oleh Boiko“ Killed By Ukraine Along With His Wife!,Ozillo News,Verified,6.6K views,"[""New"",""CC""]","
        
          
          We bring you the most accurate and fast news on the Ukraine-Russia war. Oleh Boiko, the deputy of the so-called ""head of ...
        
        We bring you the most accurate and fast news on the Ukraine-Russia war. Oleh Boiko, the deputy of the so-called ""head of ...
        
  From the video description


      "
Ukraine exhumes hundreds of bodies at mass burial site in recently reclaimed city,CBC News: The National,Verified,18K views,"[""New""]","
        
          
          WARNING: This story contains distressing details. Ukraine has exhumed more than 400 bodies at a mass burial site in the ...
        
        WARNING: This story contains distressing details. Ukraine has exhumed more than 400 bodies at a mass burial site in the ...
        
  From the video description


      "
Ukraine Captures Some Much Needed 152mm Rounds,Suchomimus,Not Verified,24K views,"[""New""]","
        
          
          Ukraine captured some much needed 152mm artillery rounds in Kharkiv. These are used in Ukraine's Soviet-era equipment.
        
        Ukraine captured some much needed 152mm artillery rounds in Kharkiv. These are used in Ukraine's Soviet-era equipment.
        
  From the video description


      "
