Title,Creator,Verified_Status,Watch_Count,Tags,Description
Ukrainian forces capture Russian Lieutenant Colonel and troops in Kharkiv region,The Sun,Verified,1.8M views,"[""New""]","
        
          
          The Ukrainian Military released a video showing a Russian lieutenant colonel having been captured in Ukraine. Other troops can ...
        
        The Ukrainian Military released a video showing a Russian lieutenant colonel having been captured in Ukraine. Other troops can ...
        
  From the video description


      "
Ukraine shoot Russian Su-25 fighter jet out of the sky with Anti-Aircraft Defence System,The Sun,Verified,1.5M views,"[""New""]","
        
          
          This footage reportedly shows Ukrainian anti-aircraft defence systems shooting down a Russian Su-25 fighter jet near Kharkiv.
        
        This footage reportedly shows Ukrainian anti-aircraft defence systems shooting down a Russian Su-25 fighter jet near Kharkiv.
        
  From the video description


      "
Ukrainian fighter jets shoot past just FEET above cars and people on a road,The Sun,Verified,1.2M views,"[""New""]","
        
          
          This impressive footage shows a Ukrainian fighter jet shooting mere feet past a car on a road. It is followed by a second jet flying ...
        
        This impressive footage shows a Ukrainian fighter jet shooting mere feet past a car on a road. It is followed by a second jet flying ...
        
  From the video description


      "
Ukraine War: ‘Ukrainian forces on a roll’ as 'panicked' Russians retreat,Sky News,Verified,1M views,"[""New""]","
        
          
          WARNING: This report includes images of dead bodies. Sky's Deborah Haynes reports from the newly liberated town of ...
        
        WARNING: This report includes images of dead bodies. Sky's Deborah Haynes reports from the newly liberated town of ...
        
  From the video description


      "
