Title,Creator,Verified_Status,Watch_Count,Tags,Description
Ukrainian forces break through the Russian lines,6abc Philadelphia,Verified,433K views,"[""New""]","
        
          
          A counteroffensive by Ukrainian forces now punching through the Russian frontline in the country's east.
        
        A counteroffensive by Ukrainian forces now punching through the Russian frontline in the country's east.
        
  From the video description


      "
🔴 Ukraine War - Ukrainian Special Forces Operate Deep In Russian Held Territory •  GoPro Helmet Cam,WarLeaks - Military Blog,Verified,425K views,"[""New""]","
        
          
          Stunning footage shows a unit of Ukrainian special forces as they operate deep inside Russian held territory in Ukraine. We video ...
        
        Stunning footage shows a unit of Ukrainian special forces as they operate deep inside Russian held territory in Ukraine. We video ...
        
  From the video description


      "
Ukrainian recon unit DESTROYS Russian tank with bomb dropped from drone near Kherson,The Sun,Verified,390K views,"[""New""]","
        
          
          This footage shows a Ukrainian recon units destroying a Russian tank near Kherson as Moscow's defeats accumulate.
        
        This footage shows a Ukrainian recon units destroying a Russian tank near Kherson as Moscow's defeats accumulate.
        
  From the video description


      "
